Name,stars,Title,Reviews
Jas,,Sharp Is The Name Of The Game,"This lens outperforms any other apsc lens out there. F1.8 makes it feel effortless to be shooting hand held at night time and to get crystal clear images woth the ability to use faster shutter speeds...and all this on a zoom lens. Sigma will be a major player in the upcoming years. They have their business model set up right, great quality, affordability and not ""holding back"" with their top innovations for just flagship models. Pretty much every new fast sigma lens nowadays IS a Flagship model . This particular model is so sharp that it is visible that i would be able to handle more than a 24mp camera (that i am currently using)"
Sonam Yamphel ,,Sharp !!!,This leans oh yeah baby it’s sharp and it’s great. Mostly probably you should know how to use it . 80% the lens does it’s job other 20% you should know how to use it. Overall It’s must have for APSC camera Like the Canon 80D.
Nicolò Frasca,,"Ottimo se usato su sensori APS-C, non adatto a sensori FULL FRAME","Come da titolo ho comprato questo obiettivo Sigma per la mia Nikon D610. Purtroppo ho dovuto effettuare il reso perché nell'entusiasmo dell'acquisto non mi sono reso conto che fosse per camere con sensore APS-C. La resa sul Full Frame dimezzandosi i megapixels e aumentando il range in MM era praticamente oscena per il prezzo dell'obiettivo. Dunque, mi sento di sconsigliarlo per chi possiede una reflex/mirrorless FX, mentre per chi possiede quest'ultime con sensore APS-C compratelo immediatamente perché credo sia il migliore zoom sul mercato. Ottimo per fare scatti stupendi ma altrettanto valido per girare video. Per quanto riguarda l'obiettivo in sé, nulla da dire. Qualità costruttiva ottima. Leggermente pesante ma davvero bello."
Jeshuafan,,Der scharfe Weit-/Standardwinkel-Klassiker für Film und Foto,"Ein Objektiv sowohl für Film als auch im Potraitbereich, in der Produktfotografie und sogar im Makro-Bereich (mit Zwischenringen) einfach top. Der Autofocus ist langsam, aber läuft. Wunderschöne softe Bokehs und eine enorme Schärfe zeichnen diese Objektiv aus. Schade, dass es nicht direkt für Sony E angeboten wird, aber Sony A oder Canon EOS mit den jeweiligen Adaptern laufen an der Sony Alpha 7 III auch. Bei 35 mm lässt sich das Objektiv auch ohne Crop im Vollformat nutzen."
Alberto Bi,,Lo ho adorato,"Credo sia uno due miei obbiettivi preferiti, molto nitido, pesa parecchio ma offre grande soddisfazioni. L'incognita rimane sempre la presenza di f/b focus ed il mio esemplare ne soffriva terribilmente. Con una calibrazione tramite dock son riuscito a sistemare il range di focus fino a 3 metri, oltre non son riuscito a dargli una calibrazione accurata, la seconda opzione era mandarlo in assistenza a mie spese per una taratura in laboratorio insieme al corpo macchina, mio malgrado dati i tempi son stato costretto a renderlo e mi è rimasto sempre sul cuore. Prima o poi provvederò a ricomprarlo"
Sanchez Rémy,,Ravis,"Magnifique! Objet. robuste. Superbe piqué. Il est meilleur que celui de mes focales fixes Canon (50mm STM et 24mm STM).Un zoom d'une tel qualité, c'est juste géniale! Je ne met pas 5 car j'ai un gros regret. Il ne fonctionne qu'avec les APS-C...édit de mon commentaire précédant: J'ai beaucoup travaillé avec cet objectif.. Il n'a aucun problème de front focus on back focus... Quand l'auto focus fonctionne..! Les photos sont prises correctement quand soudain, sans que l'on sache pourquoi, le focus ne se fait tout simplement pas... Au début j'ai cru que le problème venait de moi... Mais après plusieurs utilisations, c'est typique de cet objectif. l'auto focus Sigma est clairement défaillant. Je n'ai jamais eu de problème avec la marque Tamron que je site ici car c'est une marque tiers, je ne parle même pas de mes objectif Canon qui fonctionnent PARFAITEMENT... un tel prix pour un AF défaillent ce n'est pas normal... quand on connait le problème on peut le contourner, focus sur un sujet très prêt puis de nouveau sur le sujet voulu et ça repart, mais ne comptez pas sur cet objectif pour une utilisation professionnel. Il n'est pas digne de confiance..."
Jose Candela,,No recomendable para la GH5,"Lo compré esperando una gran calidad de imagen junto al adaptador Viltrox EF-M2 y lo que encontré fue un viñeteado con la máxima apertura que no fui capaz de solucionar. Por otra parte, el autoenfoque es casi inexistente y muy lento por lo que todo tiene que grabarse en modo manual.Supongo que con cámaras canon funcionará mejor pero mi experiencia no ha sido positiva."
Fernando S.,,"No es la cámara, es el cristal","Ok, es un objetivo en formato DX y parece que todo el mundo estamos obligados a pasar a full frame. Pero si tienes una DX reciente o has decidido que te vas a mantener en ese formato (en el que se siguen fabricando cámaras brutales), este objetivo es CREMA. Nitidez de primera división, construcción de magnífica calidad, y todo por un precio más que contenido teniendo en cuenta las alternativas. Es grande para las focales? Pesa? Sí y sí, pero es que el vidrio pesa, y aquí no hay lentes de plástico."
Jonathan Hatlen,,Great lens for different types of shoots.,"Love this lens. I use it for night time shoots (stars) and landscapes. It's f1.8 throughout its 18-35 range is great. It doesn't come with image stabilization which for me is fine as I use a tripod. It is just ever so heavyer then my 18-200 Canon lens that is my ever day lens. I have it attach to a Canon rebel t6i. I think for the price it great, it let me take out 2 other lens from my backpack which means it becomes lighter and the nice low light capability makes for nice clean photos in different settings. Attach are photos that I took with the lens. I just cropped the photos and adjusted the brightness so the stars pop more."
Vittorio,,Semplicemente eccezionale!,"Avevo letto di seri problemi di autofocus su Nikon e Pentax, pertanto ero un pò preoccupato per questo acquisto e temevo di doverlo restituire, ma pare che mi sia andata bene e non ci siano problemi.La qualità di questa lente è semplicemente scioccante, già a 1.8 è davvero una lama, nitidissimo e sfruttabilissimo su tutto il range di focali, qualcosa da non crederci!C'è un pò di vignettatura, in particolare a tutta apertura e 18mm (resta tuttavia a tutte le focali), che però non mi dispiace, non ha davvero nulla da invidiare a moltissimi fissi di fascia alta (e ne ho usati diversi). Aberrazioni cromatiche controllatissime, praticamente assenti, AF silenzioso, rapido e preciso.Uno zoom che sostituisce degnamente 3 fissi, 18, 24 e 35mm.Assolutamente consigliato a tutti!"
Rev,,Non c'è lente migliore per questo prezzo,"Una lente mitica. Non c'è paragone per questa fascia di prezzo fino al suo doppio...Una nitidezza unica e una versatilità senza paragoni.Lavora benissimo su GH5/BMPCC 4k con speedbooster.Con poche centinaia di euro, come una prime, comprate una lente di una versatilità e luminosità senza paragoni.Comprate un ND perché la lente fa giorno anche di notte e di giorno non vorrete sempre chiudere l'apertura."
Rocky,,"8 because that was the cheaper solution to have better images, you will freakout with sigma 18-35 1","If you had a lot of time used to the not so clear 18-135 (3.5 - 5.6) or 18-55 (3.5 - 5.6) and bought a 50mm 1.8 because that was the cheaper solution to have better images, you will freakout with sigma 18-35 1.8. Have clear images even zooming!"
Mirella,,MAL AUTOENFOQUE,"El objetivo vino en buenísimas condiciones por parte de Amazon y parecía tener una calidad y una robustez magníficas, pero al poco de probarlo pude apreciar el terrible problema de front-focus que tenía. Por eso mismo, solicité un cambio y Amazon respondió de maravilla facilitándome otra lente sin coste alguno. Sin embargo, el problema continuó con la nueva lente, por lo que puedo concluir con que es un error de estos objetivos, ya que además ya he leído varias opiniones de este tipo.Doy dos estrellas porque conozco gente a la que le ha salido bien la lente y están encantados con la misma, además de por la buena atención recibida por parte de Amazon."
dvigna2b,,un must have!,"Professionnel vidéo (gh5+métabones 0,71)Jen 'ai pas hésité lors de l'achat de cet objectif car je l'avais déjà eu en mains lors d'un tournage.C'est un bon investissement sur un capteur APS-C ou encore un M4/3 avec une bague d'adaptation.J'ai aimé:la Bague de mise au point large et soupleLe rendu du piqué (ni trop sharp, ni trop mou)Avec un plage focale (ma config) 25-53mm je couvre pas mal de situations. Accouplé avec un speedbooster le 1.8 devient un 1.2 et on y rajoute un filtre ND et là c'est parfait. Bien sur il reste l'effet de pompage lors de l'utilisation du zoom manuel en vidéo mais c'est le propre des objectifs photo."
Christian Albrecht,,Top Objektiv!,"Das Objektiv ist mein neues Immer-Drauf-Objektiv an meiner Nikon D7100 APSC Sensor. Die Verarbeitung ist sehr hochwertig, Autofokus schnell und die Bildergebnis sind auf dem Niveau von Festbrennweiten! Aufgrund der Lichtstärke bishin zu Weitwinkelaufnahme kommt es dem Look einer Vollformatkamera sehr nah! Hat meine ""alte"" ApSC Kamera auf jeden Fall deutlich aufgewertet und mich vom Kauf eines neuen Bodys abgehalten! Top! Zu beachten ist jedoch, das das Objektiv keinen Bildstabilisator hat! Für meine Art der Fotografie stellt das jedoch kein Problem dar."
David,,Super scharfes Objektiv,"Das Objektiv ist super scharf, damit lassen sich wirklich schöne Fotos machen. Ich verwende es hauptsächlich für Landschaft.Ein Manko ist der Autfokus, dieser musst bei meiner Kombination (Nikon D500 und D7500) über das Sigma Dock angepasst werden um gute Ergebniss zu liefern. Meist verwende ich das Objektiv jedoch mit manuellem Fokus, der große Fokusring erlaubt ein sehr gutes Fokussieren.Weiters ist das Objektiv sehr hochwertig verarbeitet (Metall), dadurch jedoch auch schwer. Das ist wohl der Preis für eine überragende Bildschärfe. Vergleichbare Schärfe habe ich noch bei keinem Zoomobjektiv gesehen, nur bei Festbrennweiten.Chromatische Abberationen sind mir kaum welche aufgefallen. Sonnensterne auf Blende 16 gibt es sehr schöne.Leider hat das Objektiv am Bajonettanschluss keine Abdichtung gegen Staub und Feuchtigkeit, bei meinem Einsatzgebiet ist das jedoch nicht weiter schlimm.Ich bin mit dem Objektiv sehr zufrieden und kann es jedem empfehlen der mal super scharfe Bilder machen möchte."
hlb,,Autofocus qui n accroche pas,"Comme beaucoup j ai des problèmes d autofocus. Je ne parle pas des micros ajustements que j ai pu réglé sur mon boitier (canon 80d).Je parle de l autofocus qui, sans comprendre pourquoi, se fait par moment bien avant ou après le sujet.Je n ai jamais eu de problème sur tous mes autres objectifs.J ai fait hier une sortie photo. Sur environ 100 photos prises avec le canon 70-200 f4 et 100 autres avec le sigma, j ai environ 15% de pertes sur le sigma contre 0 sur le canon.Et quand on se fait violence pour se lever très tôt le matin pour capter les goldenhour, et qu au retour, on mets avec impatience ses photos dans LR, et qu on s aperçoit que les meilleurs sont flous et inexploitables....Ça vous donne qu une envie, ranger cet objectif dans le placard et ne plus jamais l utiliser....Je préfère avoir 100% de mes photos de bonnes qualités et nettes, plutôt que 85% d excellent qualité mais avec un gros taux de déchets....qui peuvent tomber sur les meilleurs clichés."
Yvo,,Must-Have-Objektiv,"Eine wunderbare Erfahrung mit solch einem qualitiv hochwertigen Objektiv Fotos von Mensch und Natur zu machen, durch den großen Brennweitenbereich ist es von Natur- über Tier- bis hin zu Portraitfotografie eine AllzweckwaffeDer Autofokus ist bei meiner Kamera einer EOS 80D absolut in Ordnung wenn auch nicht BlitzschnellDie Abbildungsleistung dagegen überragend da alle Bilder über eine sehr schöne Schärfentiefe verfügenDie Qualität ist ebenso mehr als Ausgezeichnet, sehr Griffig an den Einstellungmanschetten und Wertig in der HandPreis-/Leistung absolut top"
Andreas Wendt,,brilliantes Objektiv,"Das Objektiv ist hervorragend verarbeitet. Die ersten Fotoserien an einer Nikon D7200 haben mich überzeugt. Der fehlende automatische Bildstabilisator stört mich nicht. Mein Fokus liegt eindeutig auf der Schärfe und vor allem der Lichtempfindlichkeit. F1.8, ist schon eine Ansage. In lichtschwachen Situationen bin ich aber trotzdem auf einen festen Standpunkt angewiesen (Stativ). Die Ergebnisse aber überzeugen mich. Ist eben nicht für eine „Knipse“ ;-) Für schnelle Situationen nehme ich eh mein Mobil Tel."
Mathieu ,,"Qualité  pour duré, bonne investissement",Je savais que le 18-35 de sigma avait une bonne réputation mais il est mieu que je pensait. L'image est tellement nette (sharp). Vous devrez par contre acheter le module usb pour faire des ajustements sur le focus. Le commentaires général est vrai et vous devrez avoir un peu de patience. Mais ca en vaut la peine
Andrea,,"Ottimo in tutto, tranne nel peso","Utilizzo questa lente ormai diventata un must da 5 anni e principalmente per i video... è una garanzia di qualità, quasi come un'ottica Cinema, specialmente se utilizzata con un lens reducer. Ecco, ovviamente non vi aspettate nulla di particolarmente ""comodo"", per quanto riguarda dimensioni e peso (ho una GH5 e pesa decisamente più della camera). Dunque poco adatto per il ""run and gun"", ma per lavori un po' più controllati, è senza dubbio la lente col miglior rapporto qualità-prezzo."
UggaAgga,,Heidewitzka wie daneben kann ein Fokus nur liegen ?!,"Komplette Katastrophe bei offen Blende. Ich habe gerade das Sigma Objektiv erhalten und auf allen Brennweiten offenblendig die Schärfe mittels Autofokus getestet. Nur auf einer Brennweite von 28mm passte die Fokussierung 100%ig auf allen anderen Brennweiten gab es Differenzen von bestimmt 5cm und mehr. Über das zusätzliche Dock alles zu auf 5 Entfernungen mit 5 Brennweiten zu konfiguieren habe ich keine Lust und kaufe mir lieber ein Produkt von einem anderen Hersteller. Gerne hätte ich dem Sigma Service telefonisch noch um Rat befragt aber, da geht heute keiner ans Telefon..."
THHO,,Mega Objektiv,"Habe das Objektiv für die A6300 mit einem entsprechenden A-Mount Adapter gekauft. Ich hatte zuvor einige lichtstarke Objektive getestet und war von allen eher enttäuscht (Samyang 21mm, Sony Sel35). Von dem Sigma war ich sehr beeindruckt. Mit 18mm ist es nicht wahnsinnig weitwinklig, das ist ein wenig schade. Die Lichtstärke sowie die Bildqualität haben mich absolut überzeugt. Der Autofokus wollte gelengentlich (ehr selten) nicht so wie ich, war dennoch absolut zuverlässig. Das Gewicht ist im Vergleich zu anderen Objektiven schwer, die Kamera verschwindet fast schon dahinter. Hat mir aber dennoch ganz gut gefallen. Die Verarbeirung ist sehr wertig und fast besser als die hauseigenen Objektive. Ich würde eine absolute Empfehlung für Hobbyfotografen wie mich geben, vorausgesetzt man ist bereit, den Preis (fast 900€ mit Adapter) zu bezahlen"
paulo,,"Muy buena calidad de imagen, mal autoenfoque","Seguramente me ha tocado la china, pero el autoenfoque de esta lente no funciona demasiado bien. Casi puedo decir que si no fuese porque mi cámara (canon 70d) tiene un sistema de enfoque en live view muy bueno, la habría devuelto, ya que enfocar con aperturas por debajo de 3 a través del visor es una lotería. He leído pruebas en las que dicen que el autoenfoque funciona muy bien, así que como ya he dicho seguramente me ha tocado una unidad mala.La llevaré más adelante en garantía para ver si lo pueden arreglar. He calibrado el auto enfoque para esta lente en mi cámara y ha mejorado algo, pero sigue siendo bastante inconsistente, sobretodo si disparas entre 1.8 y 3. Para asegurarme de que las fotos quedan bien enfocadas utilizo casi siempre live view cuando disparo con aperturas grandes. Aunque con live view las fotos quedan bien enfocadas, la lente es bastante lenta en enfocar en comparación con otras lentes Canon, en ocasiones le puede llevar más de un segundo.En cuanto a la calidad de imagen la verdad es que es muy buena, es muy nítida casi en cualquier focal y en cualquer apertura y supera claramente a todas las otras lentes que tengo. La construcción es genial, da gusto tocarla, los anillos de enfoque y de zoom tienen un tacto eléctrico. Pesa bastante, pero yo me he acostumbrado rápido."
Amazon Kunde,,Macht einfach Laune :-),1. Wenn man Schärfe möchte - bitteschön2. Top Bildqualität3. Top Autofokus4. Ist natürlich ein globiges und schweres Objektiv (weiß man aber vorher)5. Würde mir ein 18-55 f1.8 wünschen (35mm sind manchmal etwas knapp aber weiß man auch vorher)6. Eins der besten Objekive für APSC(nutze es zum Fotografieren an einer Canon 600D)
Alessandro G.,,Obiettivo eccezionale!,"Ho acquistato questo obiettivo dopo un'accurata ricerca nel web, tra forum e recensioni video di professionisti.L'obiettivo è bello solido, pesante (molto pesante), costruito con materiali di qualità e curato nei dettagli.L'autofocus è silenziosissimo e fluido, così come lo scorrere della ghiera. La risoluzione è impressionante, così come la luminosità.N.B.: tale obiettivo ha notoriamente dei problemi di taratura di messa a fuoco (difetto che ho riscontrato anche nel mio esemplare), ma si può correggere tranquillamente con dei metodi fai-da-te economici o acquistando l'apposito dock. Nulla di grave quindi, forse un po' noioso. Comunque sono veramente soddisfatto dell'acquisto e Amazon non ha tradito le mie aspettative, neppure questa volta."
Jazz Gitti,,Superscharfe lichtstarke Linse,"Habe mir die Linse als Canon-Mount für meine Canon EOS 800d geholt. Im Vorhinein bereiteten mir natürlich die zahlreich hier in den Rezensionen geschilderten Fälle mehr- oder minder ausgeprägten FF/BF‘s einige Sorgen. Aufgrund der Paramater der Linse, die nun mal für sich sprechen und es im APS-C-Format keine Alternative gibt, habe ich es mir bestellt.Lieferung/Verpackung in gewohnter Amazon-Manier - bombenfest und sicher. Registrierung des Objektivs bei SIGMA ohne Probleme, keine geschwärzten Seriennummern, beschädigten Kartons o.Ä.Keine FF/BF-Probleme der Linse in Verbindung mit meiner DSLR. Ein Nachjustieren oder Kalibrieren entfiel somit. Die Lichtstärke ist, so wie auch die Schärfe, der Hammer. Haptik wertig und überzeugend.Ich für meinen Teil bin super zufrieden und natürlich fiel mir ein Stein vom Herzen, als ich nach dem Auspacken feststellte, dass es keine Probleme mit dem AF gab.Kann jedem, der sich über eine Beschaffung Gedanken macht, nur zum Kauf raten!Drücke natürlich jedem die Daumen dass es, so wie bei mir, keine bösen Überraschungen mit dem AF gibt :-)"
Dirk,,Sehr gutes Objektiv,Ich habe den Kauf nicht bereut.Das Objektiv ist zu meiner Nummer 1 von meinen Objektiven geworden.Es ist sehr scharf in der Abbildung. Super für Landschaft und Nachtaufnahmen geeignet.Klar ich musste das Objektiv an meine Sony A77ii anpassen das ging zwar nicht schnell aber danach war es einfach perfekt
Terra,,Ein Superobjektiv,"Über diese Objektiv wurde eigentlich alles schon geschrieben. Nach einer Woche und vielen Fotos mit unterschiedlichen Einstellungen bin ich absolut begeistert. Das Pech, dass einige mit dem Autofokus haben, habe ich an meiner Nikon D7500 nicht. Der Fokus sitzt perfekt, sowohl im Phasen Fokus (Sucher), als auch im Kontrast Fokus (Liveview). Die Schärfe, selbst bei Offenblende, ist einfach umwerfend. Ebenso ist das Freistellen im Nahbereich genial. Eine leichte Vignettierung bei Offenblende ist zwar vorhanden, aber die lässt sich mit Adobe Lightroom mit einem Mausklick beseitigen.Beim Kauf der Nikon D7500 habe ich das (AF-S Nikkor 18-200mm 1:3,5-5,6 GII ED) dazugekauft. Das ist schon ein wertiges Objektiv, kann es aber mit dem Sigma, im entsprechenden Brennweitenbereich, nicht aufnehmen.Da ich mich zukünftig mit dem Thema Zeitraffer- und Astrofotografie beschäftigen möchte, ist dieses Objektiv aufgrund seiner Schärfe und Lichtstärke eine gute Voraussetzung.Fazit: Absolute Kaufempfehlung."
mojoman,,Sehr gute Linse,"Nutze das Objektiv mit einer Blackmagic Pocket 4k, alles cool. Habe sehr schöne Bilder damit produziert. Autofokus und Bildstabilisierung werden hier leider nicht unterstützt, daher kann ich dazu keine Aussagen machen. Schärfe und Bokeh gefallen mir aber sehr gut. Ich würde die Linse wieder kaufen."
H. Brand,,Anfällig für Lens Flares,"Ich bin mit dem Objektiv was die Schärfe und Lichtstärke betrifft sehr zufrieden. Auch offenblendig gibt es schöne Ergebnisse. Das Objektiv fühlt sich haptisch sehr hochwertig an, der Fokusring läuft geschmeidig. Den Fokus selbst empfinde ich jetzt nicht als langsam und er ist auch treffsicher.Was mich allerdings sehr stört ist die extreme Lens Flare Anfälligkeit bei Gegenlicht. In dieser Preisklasse erwarte ich ehrlich gesagt bessere Ergebnisse, andere Hersteller bekommen es ja auch besser hin. Ebenso schade ist, dass es nicht spritzwassergeschützt ist."
gionge,,"Obiettivo Sigma 18-35 F/1,8","Dopo aver visto su vari forum i commenti degli utilizzatori mi sono deciso ad acquistare questo obiettivo. Sorpreso dal suo peso e dalla lunghezza per uno zoom così 'corto'. L'autofocus è silenzioso e anche veloce. La mancanza dello stabilizzatore va a vantaggio della nitidezza che è assolutamente eccezzionale. Controllata ache a computer veramente super. Non si può usare il flash della fotocamera perche l'obiettivo fa ombra, ma questo non è importante perchè io uso un flash esterno. Sono completamente soddisfatto di questo acquisto."
Brauki346,,"Scharf, Schärfer, Sigma 18-35 f/1.8","das Objektiv ist der Knaller. Verarbeitung, Lichtstärke, Schärfe auf dem oberstem Niveau.Das Objektiv bekommt allerdings nur 4 Sterne, da ich es mit dem USB Dock erst ordentlich einstellen musste (Zeitaufwand ca. 3 Stunden). Nachdem ich den Frontfocus weg bekommen habe, entpuppte sich das Objektiv als Schärfewunder. Ich setze es fast mit meinem EF 100mm 2.8 L Macro gleich und das heißt schon was."
Cornelis Beets,,Autofocus issues,"The Sigma 18-35mm I received did not (auto-)focus consistently on my Canon 7D Mark II, especially at the wide end (18-24mm). Through other reviews I've read about this. I still ordered this lens as it's potentially a great lens - unique, fast, constant aperture, great IQ - and I hoped that either Sigma addressed the issue in later copies or the inconsistencies were small enough to be acceptable. Unfortunately the issue was not fixed and the inconsistencies were not small. In one of the test shot series I made at f/4 the lens focused at ~1.5m about 50% of the time for a subject at ~3.5m that supposedly had acquired focus. The other 50% it backfocused... Note: it's not possible to correct these issues with AFMA on your camera or with the optional USB dock.I do own a Sigma 35mm prime lens (Art series). That lens does not focus consistently either but the variances are acceptable to me. I use that lens a lot and learned to live with a certain miss rate (which depends mainly on available light, focus point(s) used and scene complexity). The fast aperture, attractive price and great IQ more than make up for the poorer (compared to similar Canon lenses) autofocus performance.I do own various other (Canon) lenses, including fast primes, that do not exhibit this behaviour."
DIEGO V,,NITIDEZ Y CALIDAD BRUTAL,"ME FLIPA! Es otro mundo este objetivo, el bokeh que produce es impresionante, lo utilizo sobre todo para vídeo en entrevistas con una Panasonic Eva1 y es ACOJONANTE! Mejor que mi 70-200 f2.8 IS II para flipar la nitidez y desenfoque que produce en el fondo a 1,8!En foto no lo he probado mucho pero no he visto el problema que suelen comentar de front/back focus"
Cliente,,Serie ART para DX - ME ENCANTA,"Lo compré en octubre, después de 8 meses usándolo, no he tenido problemas ni de desenfoque ni aberraciones ni nada por el estilo.Es todo lo que puede esperarse de la gama ARTLo recomiendo totalmente"
Iu Vela,,Un antes y un después,"Esto es lo que yo llamo un misil tierra-aire. Súper versátil. Mis fotos y vídeos han dado un salto bastante heavy. Que la apertura se mantenga en todo su recorrido lo hace perfecto para casi cualquier situación. Recomiendo un filtro para poder usar su máxima apertura cuando hace mucho sol. En vídeo los resultados son muy buenos y el auto focus va fino catalino, y eso que uso un adaptador MC-11 para mi Alpha 6500. Pesa bastante, pero mi gimbal todavía soporta todo el equipo."
Iu Vela,,Un antes y un después,"Esto es lo que yo llamo un misil tierra-aire. Súper versátil. Mis fotos y vídeos han dado un salto bastante heavy. Que la apertura se mantenga en todo su recorrido lo hace perfecto para casi cualquier situación. Recomiendo un filtro para poder usar su máxima apertura cuando hace mucho sol. En vídeo los resultados son muy buenos y el auto focus va fino catalino, y eso que uso un adaptador MC-11 para mi Alpha 6500. Pesa bastante, pero mi gimbal todavía soporta todo el equipo."
Julian P,,"Geniale Bildqualität, schöner Bokeh","Die Bildqualität ist genial und steht sehr guten Kleinbild-Objektiven in nichts nach. Auch in schlechten Lichtverhältnissen sind tolle Aufnahmen möglich. Gerade für Makro-Aufnahmen und Portraits ist das Objektiv genial mit sehr hohen Details und einem schönen Bokeh.Leider ist das Objektiv sehr schwer - nicht selten bereute ich auf Reisen die Entscheidung, dieses Objektiv mitgenommen zu haben, jedoch kommen immer wieder Situationen, in denen ich es nicht missen möchte."
Diego G.,,Obiettivo eccezionale,"Fra i migliori obiettivi senza alcun dubbio per formato DX. Bello già da vedere, è perfettamente nitido, come solitamente si fa notare. L'ho preso a 560 euro, quindi una buona occasione. Avevo paura per il noto problema del f/b focus, ma il mio non ha questo difetto.Certo la lunghezza focale è un po' limitata, certo il peso si fa sentire...ma restituisce foto ottime e l'apertura fissa a 1.8 ti permette di lavorare a diaframmi sempre aperti. Quando torni sugli altri obiettivi, la differenza si sente eccome...Spedizione ottima e pacco assicurato bene. Quindi soddisfatto per tutto quanto."
Nicholas,,Straordinaria,"Davvero Straordinaria. Ma sono andato a colpo sicuro. Oramai giro i video quasi esclusivamente con questa ottica specialmente a 35mm forse me l'aspettavo più leggera. Però va bene così. Qualità indiscussa. Rispetto alle ottiche luminose canon è più dettagliata e colori piu freddi. Forse limitata se si è abitanti a stare lontani dal soggetto, ma che qualità ragazzi. Consigliatissimo."
Simone De Stefani,,Eccellente,"Aquistato insieme all'adattatore MC-11 per montarlo su Sony a6500. L'obiettivo è importante e piuttosto pesante (da considerare la lunghezza extra dell'adattatore nel mio specifico caso), ma la qualità che offre è assolutamente strabiliante. Nitidezza incredibile anche a TA su tutta la lunghezza focale. Posseggo anche un Sigma 30 f1.4 e mount, ma posso dire che questo obiettivo zoom offre prestazioni superiori alla lente fissa.Unico difetto è la messa a fuoco che non sempre è impeccabile nelle condizioni di luce peggiori, ma non ho mai dovuto rinunciare ad uno scatto per questo motivo.Ottima costruzione generale anche se le zone satinate trattengono un po' troppe impronte e generano quell'effetto unto non piacevole alla vista, ma con un semplice panno da occhiali si ovvia al problema in pochi secondi.Nella confezione viene fornita una pratica custodia per il trasporto ed il paraluce.A questo prezzo è il miglior compromesso su mirrorless Sony per chi cerca uno zoom di alta qualità."
Marcos G.,,Encantado,El objetivo es una pasada en cuanto a velocidad de enfoque y nitidez.Nada que envidiar a los Nikon. La serie Art funciona perfectamente.Imagen muy limpia
